,DAG,KD
0,4,0
1,4,0
2,4,0
3,2,0
4,4,2
5,2,0
6,2,1
7,4,1
8,4,0
9,3,1
10,2,0
11,4,0
12,2,0
13,2,1
14,3,0
15,2,1
16,3,1
17,2,0
18,2,0
19,3,0
20,2,2
21,2,0
22,2,0
23,4,1
24,4,0
25,4,1
26,2,0
27,3,0
28,4,1
29,4,1
30,2,1
31,2,0
32,2,1
33,2,1
34,2,0
35,2,0
36,4,1
37,4,1
38,2,0
39,2,0
40,3,1
41,2,0
42,4,1
43,2,1
44,3,1
45,3,1
46,3,1
47,3,2
48,3,0
49,2,0
50,4,1
51,2,0
52,2,0
53,3,0
54,4,0
55,2,2
56,3,0
57,2,0
58,4,0
59,4,0
60,3,0
61,2,2
62,4,1
63,2,2
64,4,0
65,3,1
66,2,0
67,2,1
68,2,1
69,2,0
70,4,2
71,2,0
72,2,0
73,2,0
74,2,0
75,2,2
76,2,0
77,2,0
78,2,1
79,2,0
80,2,0
81,4,1
82,2,0
83,3,0
84,4,1
85,2,1
86,3,0
87,4,2
88,2,2
89,2,0
90,2,0
91,2,0
92,2,1
93,3,0
94,2,0
95,3,0
96,3,0
97,3,0
98,2,0
99,2,0
100,4,1
101,4,1
102,4,1
103,2,1
104,3,0
105,2,0
106,4,1
107,2,0
108,4,0
109,3,1
110,3,0
111,2,0
112,3,0
113,3,0
114,2,1
115,2,1
116,2,2
117,2,0
118,4,0
119,4,1
120,3,0
121,4,1
122,2,0
123,2,0
124,4,0
125,2,0
126,3,0
127,4,1
128,3,1
129,4,0
130,4,0
131,3,2
132,3,0
133,2,1
134,2,0
135,4,0
136,4,0
137,2,0
138,2,0
139,2,1
140,3,1
141,2,2
142,2,1
143,2,1
144,3,0
145,4,0
146,2,0
147,2,1
148,2,1
149,3,0
150,2,0
151,2,0
152,2,2
153,2,1
154,4,0
155,2,2
156,4,0
157,3,2
158,4,0
159,2,0
160,3,0
161,3,0
162,3,1
163,3,2
164,4,1
165,3,0
166,2,0
167,2,0
168,4,0
169,3,0
170,4,2
171,2,0
172,4,0
173,4,0
174,3,0
175,3,0
176,3,0
177,4,1
178,4,2
179,2,1
180,2,0
181,2,2
182,2,0
183,3,0
184,3,0
185,2,0
